family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,coordinate_points_compared,emitted_primitives,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,54,42054,beam_search,True,0.7871,0.5184,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,55,42055,greedy,True,0.6714,0.2884,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,55,42055,beam_search,True,0.0038,0.2122,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,56,42056,greedy,False,0.0000,0.3437,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x128794220>
line_segment,56,42056,beam_search,False,0.0000,0.3437,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x1287133d0>
line_segment,57,42057,greedy,True,0.7889,0.3917,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,57,42057,beam_search,True,0.7271,0.3793,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,58,42058,greedy,False,0.0000,0.5206,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x128796ed0>
line_segment,58,42058,beam_search,False,0.0000,0.5206,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x355e4b920>
line_segment,59,42059,greedy,True,0.7102,0.3281,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,59,42059,beam_search,True,0.6838,0.3539,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,60,42060,greedy,True,0.7010,0.2156,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,60,42060,beam_search,True,0.9063,0.5185,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,61,42061,greedy,True,0.5786,0.4361,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,61,42061,beam_search,True,0.5790,0.4355,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,62,42062,greedy,True,0.8704,0.2928,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,62,42062,beam_search,True,0.8704,0.2928,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,63,42063,greedy,True,0.0213,0.4220,2,draw,0.8696,1.0000,0.1304,line_segment,False,25,25,True,0,0,0,
line_segment,63,42063,beam_search,False,0.0000,0.2729,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x12876f600>
line_segment,64,42064,greedy,True,0.9025,0.4025,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,64,42064,beam_search,True,0.9042,0.3619,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,65,42065,greedy,False,0.0000,0.2341,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x1287941d0>
line_segment,65,42065,beam_search,True,0.5903,0.5576,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,66,42066,greedy,True,0.4365,0.1530,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,66,42066,beam_search,True,0.4365,0.1530,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,67,42067,greedy,True,0.3417,0.3615,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,67,42067,beam_search,True,0.3417,0.3615,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,68,42068,greedy,True,0.0254,0.4702,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,68,42068,beam_search,True,0.0984,0.5224,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,69,42069,greedy,True,0.0252,0.5901,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,69,42069,beam_search,True,0.0252,0.5901,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,70,42070,greedy,True,0.7244,0.5994,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
